Hour,Baseline_kW
777,73.76686778516726
778,77.4312694268778
779,79.28965540207953
780,79.9585561289213
781,79.9585561289213
782,79.9585561289213
783,79.9585561289213
784,79.9585561289213
785,79.9585561289213
786,79.9585561289213
787,79.9585561289213
788,79.9585561289213
789,75.7156352477249
790,72.96268125698009
791,63.89646305042149
792,50.46238979132377
793,45.220000031362595
794,34.881965373431015
795,40.63889731687014
796,43.55505539624816
797,42.46839781630185
798,53.47325902203897
799,62.15869131291375
800,68.91210989400427
801,74.35205525786493
802,75.62951136210567
803,79.9585561289213
804,79.9585561289213
805,79.9585561289213
806,79.9585561289213
807,79.9585561289213
808,79.9585561289213
809,79.9585561289213
810,79.9585561289213
811,79.9585561289213
812,77.76136962125189
813,75.81848679823139
814,71.49584827882508
815,69.49142178430095
816,57.613925109592316
817,48.65315518023402
818,35.51398646380498
819,34.24844161418584
820,38.82982124936209
821,41.63517974309984
822,51.809368986938466
823,66.47692339362162
824,70.25375806312884
825,73.14455345487788
826,76.37259420031205
827,79.9585561289213
828,79.9585561289213
829,79.9585561289213
830,79.9585561289213
831,79.9585561289213
832,79.9585561289213
833,79.9585561289213
834,79.9585561289213
835,79.9585561289213
836,79.9585561289213
837,75.5416889946834
838,74.24100288606026
839,67.43839411067854
840,63.674689463984215
841,47.67344324234945
842,42.40258818297549
843,42.36041985968905
844,42.137926624341176
845,47.38596415269963
846,48.5543989879248
847,64.13174569091653
848,67.45820198109168
849,73.12121498923717
850,76.71921474177954
851,77.05665868579408
852,79.9585561289213
853,79.9585561289213
854,79.9585561289213
855,79.9585561289213
856,79.9585561289213
857,79.9585561289213
858,79.9585561289213
859,79.9585561289213
860,79.9585561289213
861,74.64749901791404
862,72.3921459727297
863,70.39123701719797
864,48.094000847083954
865,44.54930428610115
866,38.519321013226985
867,35.22099245964989
868,40.26967181848775
869,51.292262844325755
870,49.224043981530684
871,61.985281170616595
872,70.35961224051289
873,73.88131325006952
874,76.31716487780588
875,76.5979432631911
876,79.9585561289213
877,79.9585561289213
878,79.9585561289213
879,79.9585561289213
880,79.9585561289213
881,79.9585561289213
882,79.9585561289213
883,79.9585561289213
884,79.50121354084057
885,75.88666549793514
886,74.20402050598548
887,68.154626972846
888,62.936115457596095
889,49.53975209917156
890,39.53820314446286
891,39.36926762500533
892,41.47554113049101
893,44.4556423287499
894,61.14464159962236
895,66.2016800749402
896,71.98687822428418
897,74.10065810850205
898,76.44656496885632
899,78.71240131610392
900,79.9585561289213
901,79.9585561289213
902,79.9585561289213
903,79.9585561289213
904,79.9585561289213
905,79.9585561289213
906,79.9585561289213
907,79.9585561289213
908,78.65305761917496
909,76.14416146024574
910,74.4662396257991
911,68.9937433415588
912,54.154414438004025
913,50.10067959496504
914,40.7177803248115
915,39.24695553904574
916,42.471276189818404
917,61.35271659914726
918,62.43519471318054
919,63.15046618171124
920,72.98342832912822
921,73.3417781559601
922,76.43083826007488
923,79.9585561289213
924,79.9585561289213
925,79.9585561289213
926,79.9585561289213
927,79.9585561289213
928,79.9585561289213
929,79.9585561289213
930,79.9585561289213
931,79.9585561289213
932,77.19469494189397
933,76.96127744600498
934,74.11089357389803
935,67.16848185922994
936,55.42399600147576
937,51.163973004407616
938,41.39909424771156
939,41.26167187987095
940,40.31182012547792
941,53.97912772207517
942,56.55449911956003
943,65.790138014774
